Adj Close	ANNEE
0.407747	1980
0.312015	1982
0.363427	1984
0.315561	1986
1.275682	1988
1.081430	1990
1.765242	1992
0.905105	1994
0.998285	1996
0.504969	1998
3.478462	2000
1.448097	2002
1.322554	2004
9.291433	2006
24.218641	2008
26.601469	2010
51.115936	2012
71.107201	2014
98.446655	2016
167.199890	2018

